source,speaker,overall,low-mid_150-400,presence_2k-5k,high_6k-8k,air_8k-12k
ep02,iro,-15.7,-19.3,-32.6,-43.8,-47.0
ep02,loop,-15.8,-19.5,-31.7,-43.2,-46.6
ep02,whole,-16.4,-20.0,-32.8,-44.1,-47.4
ep03,iro,-16.0,-19.5,-30.3,-33.7,-34.3
ep03,loop,-15.6,-18.2,-33.1,-37.2,-37.8
ep03,whole,-16.5,-19.4,-32.1,-35.8,-36.4
ep04,iro,-15.3,-18.8,-37.7,-44.8,-45.6
ep04,loop,-15.5,-19.1,-37.6,-44.4,-45.3
ep04,whole,-15.8,-19.3,-38.1,-45.0,-45.9
ep02_v8_iro,ref,-9.5,-12.3,-30.8,-39.8,-41.0
ep02_v8_loop,ref,-16.9,-21.8,-28.7,-31.3,-32.0
ep02_v8_loop_ref,ref,-18.0,-22.7,-29.1,-33.3,-34.2
iro_anchor_ep034,ref,-13.4,-16.4,-31.2,-40.2,-41.8
ep04_regen_iro_nov,ref,-16.8,-20.1,-31.7,-37.7,-38.9
ep04_regen_loop_nov,ref,-8.6,-13.3,-29.9,-38.4,-39.1
ep04_regen_loop_bright,ref,-8.1,-13.4,-28.8,-36.2,-37.5
ep04_regen_iro_anchor,ref,-14.7,-18.6,-29.3,-33.9,-34.9
ep04_regen_loop_anchor,ref,-16.6,-21.1,-28.2,-30.6,-31.1
proof_A_as_is,ref,-15.8,-19.3,-36.6,-44.9,-45.7
proof_B_treble,ref,-16.2,-19.5,-35.9,-39.2,-39.1
proof_C_hf,ref,-16.2,-19.5,-35.4,-42.9,-44.6
proof_D_iro_regen,ref,-15.9,-19.0,-30.9,-36.8,-37.9
proof_D2_iro_regen_deess,ref,-15.8,-19.0,-31.1,-38.5,-40.0
proof_E_loop_regen,ref,-14.1,-18.6,-34.7,-43.3,-44.2
proof_E2_loop_regen_eq,ref,-14.1,-18.7,-32.9,-42.3,-43.7
proof_F_loop_bright,ref,-14.5,-19.6,-34.7,-42.3,-43.6
